ID_Tiempo,Fecha,Mes,Año,Trimestre
213,2024-06-12,3,2021,4
214,2021-06-03,5,2024,1
215,2022-09-19,11,2024,3
216,2023-06-28,1,2023,2
217,2022-07-28,6,2024,3
218,2023-04-16,9,2022,3
219,2021-11-07,3,2022,4
220,2022-01-29,10,2023,4
221,2024-02-26,10,2021,4
222,2022-05-31,8,2021,3
223,2022-01-24,9,2023,4
224,2024-01-21,2,2024,1
225,2021-03-07,12,2024,2
226,2022-05-19,12,2022,2
227,2024-04-26,4,2020,1
228,2023-12-09,11,2024,3
229,2021-10-30,8,2020,4
230,2024-05-09,12,2021,1
231,2022-05-05,7,2021,2
232,2024-03-31,11,2022,4
233,2022-06-10,4,2021,1
234,2023-06-29,9,2021,3
235,2021-12-20,1,2020,4
236,2022-02-20,6,2020,3
237,2022-09-16,12,2023,1
238,2024-09-27,2,2023,3
239,2021-04-02,5,2023,2
240,2024-08-21,2,2023,4
241,2021-10-08,2,2021,3
242,2023-08-30,4,2023,4
243,2020-12-12,5,2021,2
244,2022-05-04,10,2020,2
245,2021-07-29,11,2023,3
246,2021-05-06,8,2020,4
247,2023-08-22,7,2024,2
248,2024-09-05,10,2021,2
249,2021-12-07,2,2023,3
250,2020-10-08,7,2021,4
251,2020-12-11,7,2020,1
252,2020-10-22,5,2021,1
253,2024-04-06,12,2021,1
254,2020-10-27,12,2020,4
255,2023-01-11,2,2022,4
256,2021-01-05,6,2020,1
257,2023-04-04,2,2024,2
258,2023-11-14,8,2024,3
259,2023-09-07,1,2023,4
260,2024-05-07,5,2022,4
261,2021-09-28,2,2022,2
262,2020-12-18,7,2023,1
263,2023-09-05,11,2022,3
264,2023-05-28,10,2022,2
265,2021-07-03,7,2023,2
266,2023-07-06,11,2022,4
267,2022-12-28,3,2024,4
268,2023-01-03,12,2021,3
269,2024-06-09,5,2020,3
270,2023-01-23,5,2020,3
271,2021-02-24,6,2022,1
272,2024-08-06,9,2024,2
273,2023-10-02,6,2020,2
274,2021-07-28,1,2023,2
275,2024-09-25,9,2020,1
276,2024-10-02,7,2022,4
277,2021-07-03,5,2024,1
278,2020-12-26,6,2024,4
279,2022-01-08,2,2020,2
280,2022-02-12,8,2021,3
281,2023-11-29,4,2020,3
282,2022-07-13,8,2023,1
283,2023-12-13,3,2024,4
284,2022-07-21,12,2023,3
285,2023-08-12,3,2024,4
286,2024-09-04,9,2022,2
287,2021-10-22,10,2023,1
288,2021-10-05,3,2023,3
289,2024-09-04,5,2020,1
290,2024-09-20,4,2022,2
291,2024-03-30,7,2024,3
292,2023-10-13,7,2021,1
293,2024-08-04,5,2024,4
294,2023-12-21,12,2021,2
295,2022-06-07,12,2023,4
296,2024-07-14,11,2024,4
297,2021-05-01,8,2020,1
298,2024-07-04,3,2024,1
299,2023-03-20,1,2022,3
300,2024-01-24,9,2023,4
301,2022-06-23,10,2023,3
302,2020-12-17,5,2023,1
303,2020-11-18,9,2021,1
304,2021-03-02,8,2021,4
305,2024-01-04,6,2020,2
306,2021-06-20,3,2024,2
307,2022-09-14,1,2021,3
308,2023-10-23,7,2023,4
309,2022-11-09,5,2023,4
310,2020-10-10,3,2024,4
311,2023-12-04,1,2024,2
312,2024-08-11,6,2021,2
313,2021-07-07,8,2021,2
314,2021-11-07,2,2021,4
315,2023-08-07,11,2023,2
316,2024-08-30,9,2022,4
317,2024-06-27,4,2021,2
318,2023-12-05,12,2022,4
319,2020-12-24,12,2024,1
320,2022-06-15,9,2022,4
321,2022-03-16,2,2020,3
322,2024-05-26,9,2022,4
323,2023-06-20,9,2023,4
324,2021-01-31,2,2021,4
325,2021-12-04,2,2020,2
326,2024-06-03,5,2021,4
327,2021-06-28,9,2022,4
328,2021-05-23,7,2021,2
329,2021-01-09,10,2024,1
330,2024-04-15,9,2021,3
331,2023-01-26,7,2022,4
332,2021-04-22,2,2020,3
333,2022-09-22,9,2022,1
334,2022-09-01,12,2023,1
335,2023-01-02,8,2021,1
336,2023-02-10,11,2023,2
337,2022-05-20,1,2020,1
338,2022-12-19,11,2020,4
339,2021-12-05,5,2023,2
340,2023-11-30,11,2023,2
341,2022-02-24,8,2020,4
342,2023-04-30,3,2020,4
343,2023-02-04,8,2023,2
344,2023-05-05,10,2021,1
345,2022-09-26,5,2021,2
346,2023-07-27,5,2021,2
347,2022-01-17,8,2020,4
348,2021-10-04,1,2020,1
349,2023-07-03,8,2022,2
350,2021-10-16,6,2023,3
351,2021-05-04,10,2024,4
352,2022-03-27,8,2020,1
353,2021-01-16,7,2020,4
354,2021-02-13,10,2021,1
355,2021-08-05,6,2024,4
356,2021-04-12,8,2023,2
357,2022-08-04,6,2021,4
358,2023-12-06,2,2022,3
359,2023-09-02,2,2020,2
360,2023-12-26,11,2020,4
361,2024-06-12,6,2020,3
362,2024-06-05,9,2024,3
363,2022-07-15,2,2024,2
364,2022-01-08,10,2022,4
365,2022-12-09,3,2022,4
366,2024-10-06,11,2024,1
367,2024-04-19,2,2021,2
368,2023-06-13,1,2023,1
369,2023-11-25,11,2023,1
370,2024-06-18,2,2022,3
371,2020-12-22,8,2023,2
372,2022-01-12,6,2020,3
373,2023-10-11,8,2024,1
374,2023-10-18,4,2024,3
375,2021-08-23,5,2020,4
376,2021-10-01,6,2024,3
377,2022-05-10,12,2023,4
378,2021-12-30,3,2024,2
379,2021-11-21,6,2024,3
380,2024-06-03,2,2022,3
381,2024-06-27,4,2021,1
382,2023-02-19,12,2021,2
383,2022-06-11,3,2022,3
384,2024-04-11,6,2020,2
385,2020-12-11,2,2024,3
386,2022-12-12,9,2023,4
387,2021-01-03,12,2024,3
388,2024-08-23,5,2022,1
389,2022-10-15,3,2021,2
390,2024-02-06,8,2021,4
391,2023-11-19,11,2021,4
392,2021-11-16,6,2020,3
393,2024-04-12,12,2021,4
394,2023-01-10,6,2020,2
395,2021-06-21,1,2021,2
396,2024-07-22,3,2020,2
397,2023-06-23,9,2023,2
398,2020-10-09,1,2024,3
399,2022-07-07,5,2021,3
400,2024-03-09,9,2022,4
401,2024-09-02,11,2022,1
402,2021-04-16,4,2022,3
403,2022-01-01,4,2022,1
404,2022-03-19,12,2024,2
405,2023-09-20,3,2024,3
406,2023-08-22,11,2022,2
407,2023-02-16,11,2022,1
408,2020-11-26,10,2020,3
409,2023-11-07,8,2024,4
410,2020-11-06,1,2020,4
411,2021-07-28,5,2021,4
412,2022-06-15,4,2021,3
413,2022-03-21,12,2023,2
414,2021-08-28,3,2023,2
415,2022-11-03,3,2020,4
416,2024-03-22,2,2020,4
417,2023-03-18,6,2021,2
418,2023-05-23,2,2023,1
419,2022-08-07,10,2020,3
420,2023-04-28,5,2020,1
421,2023-12-02,8,2021,4
422,2022-01-29,2,2021,4
423,2022-10-10,9,2021,2
424,2021-03-05,11,2024,1
425,2023-01-04,3,2023,2
426,2023-10-07,12,2021,1
427,2022-03-26,5,2020,3
428,2023-05-20,5,2024,3
429,2022-03-31,5,2023,4
430,2024-04-18,11,2024,1
431,2024-07-10,2,2024,2
432,2023-02-26,7,2024,1
433,2023-07-28,12,2024,1
434,2022-06-21,2,2021,4
435,2022-12-05,10,2020,1
436,2022-02-01,6,2024,1
437,2024-05-11,2,2024,2
438,2021-04-16,6,2020,2
439,2022-02-01,7,2021,2
440,2021-12-23,7,2024,4
441,2023-01-26,3,2023,1
442,2023-08-04,7,2020,4
443,2021-08-09,12,2023,1
444,2021-04-26,1,2020,1
445,2023-07-13,11,2020,4
446,2022-04-16,9,2022,4
447,2023-06-18,11,2023,4
448,2021-10-27,5,2022,3
449,2022-10-17,10,2024,3
450,2023-09-02,9,2024,2
451,2021-02-14,5,2021,4
452,2024-06-04,10,2022,3
453,2022-12-26,7,2021,2
454,2024-08-06,6,2022,2
455,2021-07-09,10,2022,3
456,2021-02-19,11,2020,2
457,2022-07-08,11,2021,1
458,2021-10-14,1,2021,1
459,2022-12-26,12,2023,1
460,2022-01-18,7,2024,2
461,2022-04-08,9,2023,4
462,2021-12-11,12,2023,1
463,2024-05-03,7,2020,4
464,2022-01-22,9,2022,3
465,2023-11-14,2,2023,3
466,2023-01-02,2,2024,1
467,2022-10-14,5,2020,2
468,2022-12-05,3,2020,2
469,2022-03-03,8,2023,2
470,2022-06-08,9,2023,4
471,2023-12-04,5,2022,4
472,2023-10-28,5,2021,3
473,2023-09-08,6,2020,1
474,2024-07-23,11,2020,2
475,2024-03-28,4,2020,1
476,2021-03-16,9,2022,4
477,2022-01-02,6,2024,1
478,2022-05-09,2,2023,4
479,2023-04-03,2,2021,3
480,2022-09-20,5,2022,3
481,2022-07-19,1,2024,3
482,2022-08-29,6,2024,3
483,2022-04-05,3,2021,1
484,2022-10-03,3,2022,4
485,2021-10-28,1,2022,1
486,2021-02-02,2,2022,4
487,2020-11-14,10,2020,4
488,2022-12-06,6,2021,4
489,2022-03-28,10,2024,1
490,2023-02-05,6,2022,2
491,2024-02-26,8,2021,3
492,2024-08-11,5,2021,2
493,2022-09-01,12,2020,1
494,2021-02-09,5,2024,3
495,2022-03-05,3,2020,2
496,2022-08-22,9,2022,3
497,2023-07-01,11,2023,1
498,2021-04-28,6,2020,3
499,2022-06-19,4,2020,1
500,2022-11-14,6,2022,4
501,2023-12-15,8,2020,3
502,2024-02-10,11,2024,1
503,2024-03-28,10,2023,2
504,2021-01-01,8,2023,3
505,2020-11-05,10,2023,2
506,2024-09-12,9,2021,2
507,2023-03-15,6,2021,4
508,2021-12-25,11,2024,3
509,2022-12-12,6,2022,2
510,2021-06-26,9,2021,4
511,2024-05-04,5,2024,1
512,2023-07-09,11,2022,2
513,2024-04-29,9,2021,2
514,2024-05-16,2,2021,1
515,2021-12-31,9,2020,3
516,2021-04-01,5,2022,4
517,2023-03-24,6,2023,3
518,2023-11-21,7,2020,4
519,2021-01-29,11,2023,3
520,2022-02-25,10,2020,2
521,2024-09-21,10,2021,4
522,2022-12-15,2,2024,4
523,2023-03-21,4,2021,3
524,2020-10-30,11,2024,3
525,2023-01-22,2,2023,1
526,2024-07-17,12,2021,2
527,2021-11-13,3,2021,4
528,2024-06-29,3,2023,4
529,2024-04-10,3,2022,3
530,2023-08-30,4,2021,1
531,2021-11-01,10,2021,2
532,2021-06-13,4,2020,2
533,2024-07-08,2,2020,2
534,2024-07-01,8,2022,1
535,2022-07-05,6,2024,4
536,2020-12-28,5,2022,3
537,2021-07-29,8,2021,1
538,2021-06-04,11,2024,1
539,2022-12-04,2,2024,1
540,2023-06-01,8,2021,3
541,2022-03-03,9,2021,1
542,2022-07-08,5,2023,1
543,2020-12-10,11,2023,2
544,2020-12-16,4,2022,1
545,2023-12-20,11,2020,2
546,2020-11-22,11,2024,4
547,2023-05-31,3,2023,3
548,2021-01-17,5,2022,1
549,2022-01-09,12,2022,1
550,2021-04-26,3,2020,1
551,2021-03-12,2,2020,3
552,2023-07-03,4,2023,2
553,2022-09-10,5,2022,4
554,2023-10-05,10,2020,2
555,2021-11-11,11,2022,1
556,2023-08-24,10,2022,1
557,2024-03-25,12,2022,3
558,2021-08-13,9,2020,2
559,2023-05-06,10,2023,1
560,2021-12-29,5,2023,4
561,2023-03-11,3,2022,2
562,2023-01-27,12,2021,2
563,2023-04-12,5,2022,4
564,2021-12-04,8,2024,3
565,2023-09-29,3,2022,2
566,2024-09-19,1,2024,1
567,2022-06-24,2,2021,3
568,2022-04-26,4,2023,2
569,2023-10-15,3,2023,1
570,2024-02-05,11,2021,2
571,2022-06-04,6,2021,1
572,2022-01-21,12,2022,3
573,2023-03-18,4,2021,3
574,2021-11-11,11,2023,3
575,2020-12-14,7,2020,4
576,2021-11-12,2,2023,4
577,2022-05-13,12,2022,2
578,2022-03-26,9,2022,3
579,2020-10-28,1,2021,4
580,2024-09-07,10,2021,4
581,2021-09-28,2,2023,4
582,2023-11-12,10,2022,4
583,2023-05-20,6,2023,3
584,2022-03-21,10,2024,3
585,2022-02-12,12,2021,1
586,2020-12-24,8,2020,2
587,2024-02-13,7,2024,4
588,2022-01-17,5,2021,1
589,2024-07-17,5,2020,3
590,2024-06-10,12,2020,1
591,2021-09-06,5,2023,4
592,2023-11-08,1,2020,2
593,2023-09-28,9,2022,1
594,2022-12-26,2,2020,4
595,2022-10-01,3,2022,3
596,2022-03-13,12,2020,2
597,2023-03-06,11,2021,3
598,2022-04-11,10,2021,1
599,2024-06-08,3,2020,2
600,2022-10-11,9,2022,3
601,2021-05-05,6,2021,4
602,2022-02-04,6,2022,1
603,2022-08-06,1,2022,1
604,2021-09-12,11,2022,2
605,2024-07-24,6,2022,2
606,2022-06-13,6,2024,1
607,2022-08-05,8,2022,1
608,2024-07-11,9,2021,2
609,2022-05-01,4,2021,1
610,2023-11-04,7,2024,3
611,2021-11-13,9,2024,3
612,2023-08-22,9,2020,1
613,2021-01-29,7,2024,3
614,2023-11-19,10,2024,3
615,2023-03-04,4,2022,3
616,2023-07-07,2,2024,3
617,2022-05-07,8,2021,1
618,2024-04-14,3,2020,2
619,2023-09-15,11,2024,1
620,2023-10-01,1,2021,3
621,2024-03-17,11,2022,1
622,2022-04-10,3,2024,3
623,2022-04-09,8,2020,2
624,2020-11-13,3,2021,2
625,2024-09-11,9,2021,3
626,2021-04-01,2,2024,2
627,2023-11-11,9,2024,4
628,2022-04-19,1,2020,3
629,2024-02-12,11,2022,1
630,2021-01-01,11,2021,2
631,2021-03-13,12,2020,2
632,2023-08-28,6,2020,3
633,2021-12-22,2,2023,2
634,2022-02-10,11,2021,1
635,2020-11-18,4,2024,2
636,2022-07-18,11,2022,4
637,2023-12-05,11,2023,4
638,2023-01-06,11,2023,3
639,2021-10-14,12,2023,3
640,2022-05-03,9,2023,4
641,2024-09-03,2,2022,2
642,2022-08-05,12,2024,1
643,2022-07-07,7,2024,2
644,2022-02-01,1,2021,3
645,2023-03-15,8,2023,3
646,2023-03-18,5,2023,1
647,2021-04-30,12,2020,4
648,2022-05-21,9,2021,1
649,2021-11-21,7,2020,3
650,2021-10-02,3,2024,2
651,2021-05-29,5,2024,4
652,2023-07-22,2,2021,3
653,2022-07-21,5,2024,3
654,2023-07-31,4,2023,2
655,2022-11-26,9,2023,1
656,2023-09-02,12,2020,1
657,2024-08-31,3,2024,4
658,2021-01-11,5,2024,3
659,2022-11-03,1,2023,4
660,2024-02-13,12,2024,2
661,2021-12-03,3,2024,1
662,2023-10-30,5,2021,2
663,2022-12-19,10,2020,1
664,2022-10-24,4,2020,4
665,2023-08-16,9,2020,1
666,2023-07-27,12,2020,4
667,2024-03-07,7,2024,1
668,2023-05-01,6,2023,1
669,2023-04-06,7,2023,3
670,2023-09-03,1,2021,4
671,2022-06-29,8,2024,3
672,2021-06-14,11,2023,1
673,2023-03-13,9,2024,4
674,2023-11-15,5,2022,1
675,2024-10-01,1,2024,2
676,2024-06-19,11,2024,2
677,2024-05-17,1,2021,1
678,2023-11-14,9,2024,3
679,2023-06-23,12,2023,1
680,2023-03-25,12,2024,3
681,2021-04-23,9,2024,4
682,2023-07-16,11,2021,1
683,2021-12-13,1,2024,1
684,2024-07-24,11,2020,1
685,2023-09-15,7,2024,4
686,2023-08-28,1,2021,4
687,2022-02-05,10,2024,2
688,2021-12-10,3,2024,2
689,2021-09-27,12,2024,3
690,2022-09-27,4,2020,3
691,2023-05-29,6,2022,3
692,2024-04-09,11,2022,2
693,2024-03-06,5,2023,1
694,2022-02-17,7,2021,3
695,2023-11-02,8,2022,2
696,2023-12-27,5,2023,3
697,2022-04-06,1,2020,4
698,2021-12-29,9,2024,2
699,2023-06-29,3,2023,4
700,2023-06-24,2,2020,4
701,2021-11-30,3,2023,4
702,2021-10-04,11,2022,4
703,2021-02-05,5,2021,2
704,2023-09-24,10,2020,4
705,2022-07-08,5,2021,3
706,2021-11-23,2,2020,1
707,2022-06-16,5,2023,4
708,2023-07-01,10,2020,4
709,2024-01-18,12,2022,4
710,2021-01-01,6,2022,3
711,2022-10-20,2,2022,3
712,2023-03-22,6,2022,3
713,2024-02-08,1,2023,4
714,2022-10-15,7,2024,4
715,2023-02-14,1,2022,4
716,2022-08-12,5,2024,3
717,2024-04-03,9,2020,1
718,2024-04-06,11,2024,1
719,2021-09-06,2,2020,1
720,2022-04-14,9,2020,4
721,2024-04-18,10,2024,4
722,2021-01-20,12,2023,3
723,2021-10-31,3,2020,4
724,2023-06-08,6,2022,2
725,2021-11-16,2,2024,4
726,2023-06-03,8,2022,2
727,2022-12-20,2,2023,1
728,2023-01-17,1,2023,4
729,2021-01-31,9,2021,1
730,2024-04-15,4,2024,3
731,2022-12-09,5,2021,4
732,2022-01-18,6,2020,2
733,2020-12-05,9,2020,4
734,2022-05-04,8,2020,1
735,2023-03-31,7,2024,3
736,2022-11-04,9,2024,4
737,2023-08-07,1,2022,1
738,2023-09-19,9,2022,4
739,2023-06-06,2,2023,1
740,2021-08-10,8,2021,2
741,2024-01-08,6,2024,4
742,2022-07-13,11,2020,4
743,2024-05-01,2,2020,3
744,2023-10-06,7,2023,1
745,2023-08-20,12,2022,1
746,2024-05-06,5,2024,2
747,2024-05-16,10,2023,1
748,2024-02-17,1,2024,3
749,2023-10-28,3,2020,3
750,2022-01-21,1,2020,4
751,2021-08-27,7,2022,1
752,2023-01-24,1,2024,4
753,2022-10-06,5,2022,2
754,2024-06-17,3,2023,4
755,2022-01-03,8,2024,4
756,2023-11-20,9,2023,2
757,2021-02-03,4,2021,2
758,2021-12-25,7,2023,4
759,2021-03-17,12,2021,4
760,2021-12-03,3,2022,2
761,2020-12-16,12,2022,1
762,2021-11-18,9,2021,4
763,2023-11-11,7,2020,3
764,2024-08-03,11,2022,4
765,2021-08-17,1,2020,4
766,2021-03-23,10,2023,2
767,2023-08-19,5,2022,4
768,2023-06-24,8,2021,3
769,2022-02-19,1,2022,3
770,2021-10-18,4,2022,4
771,2021-09-04,9,2023,4
772,2023-09-27,8,2021,3
773,2023-03-14,3,2021,1
774,2023-08-27,4,2024,3
775,2024-09-25,2,2021,3
776,2022-03-22,4,2020,2
777,2022-05-24,1,2024,1
778,2022-10-22,12,2023,4
779,2022-02-12,10,2024,3
780,2021-01-23,6,2022,3
781,2021-06-03,10,2023,4
782,2023-06-27,3,2021,3
783,2021-12-28,10,2023,3
784,2021-08-06,5,2024,2
785,2022-12-20,7,2022,4
786,2023-06-17,9,2024,1
787,2021-11-01,3,2021,1
788,2022-07-17,9,2020,2
789,2024-02-19,11,2020,2
790,2020-10-20,3,2020,3
791,2020-11-27,2,2022,1
792,2022-01-06,5,2020,1
793,2021-01-28,11,2022,4
794,2021-01-04,8,2022,1
795,2021-01-22,3,2024,3
796,2024-02-06,11,2021,4
797,2021-07-05,2,2020,4
798,2023-02-17,2,2020,2
799,2024-09-21,4,2023,3
800,2024-08-15,1,2020,2
801,2022-12-15,7,2020,1
802,2023-10-28,11,2023,3
803,2024-02-27,2,2023,2
804,2023-11-28,3,2023,4
805,2022-04-07,7,2021,2
806,2021-11-08,5,2023,3
807,2021-09-13,4,2024,4
808,2021-04-11,12,2020,3
809,2023-11-25,2,2020,3
810,2023-05-11,8,2022,2
811,2021-01-02,7,2022,1
812,2023-03-20,11,2020,4
813,2023-09-07,3,2021,3
814,2022-08-01,12,2024,2
815,2023-04-25,7,2024,3
816,2023-03-24,1,2020,1
817,2024-06-13,1,2021,4
818,2021-09-27,6,2021,3
819,2023-04-28,8,2020,4
820,2024-05-17,6,2020,3
821,2022-12-04,3,2021,3
822,2023-08-07,4,2023,1
823,2024-09-14,3,2022,1
824,2024-01-29,10,2022,1
825,2021-03-21,8,2020,4
826,2021-07-26,4,2021,2
827,2022-03-29,8,2020,1
828,2022-01-31,8,2020,3
829,2024-08-14,3,2024,3
830,2021-08-30,9,2020,2
831,2021-09-13,8,2023,3
832,2023-03-21,3,2023,1
833,2024-08-25,2,2021,3
834,2021-11-07,4,2021,2
835,2021-07-18,1,2022,4
836,2022-03-17,11,2022,4
837,2023-12-18,12,2023,2
838,2022-12-01,12,2024,3
839,2024-05-13,9,2023,1
840,2022-01-08,3,2022,1
841,2021-09-13,10,2021,4
842,2022-02-21,12,2021,1
843,2021-04-27,3,2022,4
844,2022-05-16,10,2021,4
845,2023-03-17,5,2024,2
846,2022-10-25,10,2020,4
847,2022-04-23,6,2020,4
848,2024-06-01,8,2020,1
849,2023-09-10,4,2024,1
850,2021-10-10,2,2023,4
851,2021-10-13,7,2020,2
852,2023-11-30,4,2020,2
853,2023-09-13,10,2023,2
854,2021-09-18,3,2021,3
855,2024-06-27,9,2023,2
856,2023-05-12,1,2024,4
857,2022-09-26,5,2020,4
858,2024-03-09,12,2020,1
859,2024-08-13,4,2021,2
860,2020-12-05,8,2023,1
861,2021-07-07,3,2020,3
862,2020-12-27,9,2020,2
863,2021-01-19,1,2021,2
864,2022-12-09,12,2024,1
865,2021-05-10,8,2024,3
866,2021-03-10,5,2020,3
867,2020-10-15,1,2024,1
868,2022-08-07,1,2021,2
869,2021-01-28,6,2024,2
870,2023-05-07,1,2024,2
871,2021-04-24,7,2022,3
